"filename", "language", "JSON", "JSON with Comments", "TypeScript", "JavaScript", "comment", "blank", "total"
"d:\PZB\Cocos3D\HelloTK3.4.0\.vs\HelloTK\project-colors.json", "JSON", 11, 0, 0, 0, 0, 0, 11
"d:\PZB\Cocos3D\HelloTK3.4.0\.vs\VSWorkspaceState.json", "JSON", 16, 0, 0, 0, 0, 0, 16
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\BattleField\Attack\AtkMgr.ts", "TypeScript", 0, 0, 54, 0, 9, 13, 76
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\BattleField\Attack\DmgCal.ts", "TypeScript", 0, 0, 32, 0, 12, 12, 56
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\BattleField\Attack\Info.ts", "TypeScript", 0, 0, 27, 0, 0, 12, 39
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\BattleField\BattleFieldMaker.ts", "TypeScript", 0, 0, 65, 0, 0, 12, 77
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\BattleField\BattleScene.ts", "TypeScript", 0, 0, 154, 0, 0, 20, 174
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\BattleField\HP\HpMgr.ts", "TypeScript", 0, 0, 68, 0, 1, 12, 81
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\BattleField\HP\HpNum.ts", "TypeScript", 0, 0, 33, 0, 2, 6, 41
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\BattleField\HP\TotalHp.ts", "TypeScript", 0, 0, 53, 0, 4, 10, 67
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\BattleField\Monster\MonsterMgr.ts", "TypeScript", 0, 0, 33, 0, 0, 6, 39
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Error\BasicException.ts", "TypeScript", 0, 0, 60, 0, 4, 13, 77
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Error\UserException.ts", "TypeScript", 0, 0, 7, 0, 19, 7, 33
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Heros\Formation\Formation.ts", "TypeScript", 0, 0, 203, 0, 4, 23, 230
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Heros\Formation\FormationBar.ts", "TypeScript", 0, 0, 40, 0, 0, 6, 46
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Heros\Formation\HeroPortrait.ts", "TypeScript", 0, 0, 64, 0, 0, 8, 72
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Heros\HerosMgr.ts", "TypeScript", 0, 0, 173, 0, 6, 12, 191
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Items\Item.ts", "TypeScript", 0, 0, 55, 0, 1, 10, 66
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Items\ItemBrowser.ts", "TypeScript", 0, 0, 159, 0, 0, 18, 177
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Items\ItemMgr.ts", "TypeScript", 0, 0, 55, 0, 4, 9, 68
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\NetWork\Json2Exc.ts", "TypeScript", 0, 0, 8, 0, 37, 12, 57
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\NetWork\LoginMsg.ts", "TypeScript", 0, 0, 39, 0, 17, 7, 63
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\NetWork\MD5.ts", "TypeScript", 0, 0, 208, 0, 0, 2, 210
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\NetWork\NetWork.ts", "TypeScript", 0, 0, 48, 0, 3, 8, 59
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Player\PlayerMgr.ts", "TypeScript", 0, 0, 86, 0, 9, 17, 112
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Spirit\SpiritMgr.ts", "TypeScript", 0, 0, 7, 0, 30, 8, 45
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\StartScene\Loading.ts", "TypeScript", 0, 0, 150, 0, 2, 7, 159
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\StartScene\SignUp.ts", "TypeScript", 0, 0, 45, 0, 2, 8, 55
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\StartScene\StartPage.ts", "TypeScript", 0, 0, 177, 0, 2, 8, 187
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\StartScene\StartScene.ts", "TypeScript", 0, 0, 19, 0, 0, 3, 22
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Tools\AlertLbl.ts", "TypeScript", 0, 0, 26, 0, 0, 6, 32
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Tools\Configure.ts", "TypeScript", 0, 0, 37, 0, 0, 5, 42
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Tools\Err.ts", "TypeScript", 0, 0, 22, 0, 2, 7, 31
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Tools\Functions.ts", "TypeScript", 0, 0, 206, 0, 22, 24, 252
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Tools\GameMgr.ts", "TypeScript", 0, 0, 33, 0, 2, 4, 39
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Tools\Generator.ts", "TypeScript", 0, 0, 37, 0, 0, 7, 44
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Tools\ImgMgr.ts", "TypeScript", 0, 0, 27, 0, 0, 6, 33
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Tools\MoveCamera.ts", "TypeScript", 0, 0, 116, 0, 1, 15, 132
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Tools\RenderModel2UI.ts", "TypeScript", 0, 0, 24, 0, 0, 7, 31
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Tools\ResMgr.ts", "TypeScript", 0, 0, 49, 0, 1, 8, 58
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Tools\SceneMgr.ts", "TypeScript", 0, 0, 52, 0, 1, 10, 63
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Tools\ShowNum.ts", "TypeScript", 0, 0, 46, 0, 12, 15, 73
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Tools\Subscribe.ts", "TypeScript", 0, 0, 37, 0, 12, 6, 55
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Tools\TouchScreen.ts", "TypeScript", 0, 0, 35, 0, 1, 6, 42
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\HeroList\HeroEquip.ts", "TypeScript", 0, 0, 7, 0, 0, 2, 9
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\HeroList\HeroInfo.ts", "TypeScript", 0, 0, 20, 0, 4, 4, 28
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\HeroList\HeroList.ts", "TypeScript", 0, 0, 74, 0, 4, 17, 95
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\HeroList\HeroListEquip.ts", "TypeScript", 0, 0, 7, 0, 30, 8, 45
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\HeroList\HeroListPortrait.ts", "TypeScript", 0, 0, 30, 0, 0, 7, 37
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\HeroList\HeroSpirit.ts", "TypeScript", 0, 0, 7, 0, 0, 2, 9
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\HeroList\Model_UI.ts", "TypeScript", 0, 0, 42, 0, 0, 8, 50
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\Inventory\Inventory.ts", "TypeScript", 0, 0, 70, 0, 0, 13, 83
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\Inventory\InventoryMgr.ts", "TypeScript", 0, 0, 86, 0, 4, 10, 100
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\League\DynamicList.ts", "TypeScript", 0, 0, 102, 0, 0, 13, 115
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\League\League.ts", "TypeScript", 0, 0, 25, 0, 0, 5, 30
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\League\LeagueInfo.ts", "TypeScript", 0, 0, 102, 0, 3, 16, 121
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\League\LeagueJoin.ts", "TypeScript", 0, 0, 58, 0, 0, 7, 65
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\League\LeagueList.ts", "TypeScript", 0, 0, 54, 0, 0, 6, 60
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\League\LeagueMgr.ts", "TypeScript", 0, 0, 404, 0, 14, 17, 435
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\Mail\Mail.ts", "TypeScript", 0, 0, 103, 0, 3, 18, 124
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\Mail\MailMgr.ts", "TypeScript", 0, 0, 90, 0, 10, 15, 115
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\Mail\MailTitle.ts", "TypeScript", 0, 0, 27, 0, 0, 4, 31
