"filename", "language", "TypeScript", "JSON", "comment", "blank", "total"
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\BattleField\Attack\AtkMgr.ts", "TypeScript", 6, 0, 0, 0, 6
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\BattleField\Attack\Info.ts", "TypeScript", 0, 0, 0, -1, -1
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\BattleField\BattleFieldMaker.ts", "TypeScript", 1, 0, 0, -1, 0
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\BattleField\BattlePage.ts", "TypeScript", 55, 0, 4, 6, 65
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\BattleField\BattleResult.ts", "TypeScript", -2, 0, 1, 0, -1
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\BattleField\BattleScene.ts", "TypeScript", 3, 0, 1, 0, 4
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\BattleField\HP\HpMgr.ts", "TypeScript", 3, 0, 0, 0, 3
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\BattleField\HP\TotalHp.ts", "TypeScript", -53, 0, -4, -10, -67
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Heros\Formation\Formation.ts", "TypeScript", -1, 0, 0, 0, -1
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Items\Item.ts", "TypeScript", -1, 0, 0, 0, -1
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Items\ItemBrowser.ts", "TypeScript", -1, 0, 0, 0, -1
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Items\ItemMgr.ts", "TypeScript", -1, 0, 0, 0, -1
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\NetWork\Json2Exc.ts", "TypeScript", 0, 0, 0, -1, -1
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\NetWork\LoginMsg.ts", "TypeScript", -1, 0, 0, 0, -1
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Player\PlayerMgr.ts", "TypeScript", -1, 0, 0, 0, -1
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Spirit\SpiritMgr.ts", "TypeScript", 0, 0, 0, -1, -1
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\StartScene\Loading.ts", "TypeScript", 1, 0, 0, 0, 1
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\StartScene\SignUp.ts", "TypeScript", -1, 0, 0, 0, -1
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\StartScene\StartPage.ts", "TypeScript", -2, 0, 0, 0, -2
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\StartScene\StartScene.ts", "TypeScript", 5, 0, 0, 0, 5
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Tools\Configure.ts", "TypeScript", -1, 0, 0, 0, -1
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Tools\Err.ts", "TypeScript", 4, 0, 0, 0, 4
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Tools\GameMgr.ts", "TypeScript", -1, 0, 0, 0, -1
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Tools\Generator.ts", "TypeScript", 3, 0, 0, 0, 3
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Tools\ImgMgr.ts", "TypeScript", -1, 0, 0, 0, -1
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Tools\MoveCamera.ts", "TypeScript", 4, 0, 0, 0, 4
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Tools\ResMgr.ts", "TypeScript", -1, 0, 0, 0, -1
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Tools\SceneMgr.ts", "TypeScript", 1, 0, 0, 0, 1
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Tools\ShowNum.ts", "TypeScript", 0, 0, 0, -1, -1
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Tools\TouchScreen.ts", "TypeScript", -1, 0, 0, 0, -1
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\Inventory\Inventory.ts", "TypeScript", -1, 0, 0, 0, -1
