"filename", "language", "JSON", "JavaScript", "JSON with Comments", "TypeScript", "comment", "blank", "total"
"d:\PZB\Cocos3D\HelloTK3.4.0\.vs\HelloTK\project-colors.json", "JSON", 11, 0, 0, 0, 0, 0, 11
"d:\PZB\Cocos3D\HelloTK3.4.0\.vs\VSWorkspaceState.json", "JSON", 16, 0, 0, 0, 0, 0, 16
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\BattleField\Attack\AtkMgr.ts", "TypeScript", 0, 0, 0, 60, 9, 13, 82
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\BattleField\Attack\DmgCal.ts", "TypeScript", 0, 0, 0, 32, 12, 12, 56
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\BattleField\Attack\Info.ts", "TypeScript", 0, 0, 0, 27, 0, 11, 38
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\BattleField\BattleFieldMaker.ts", "TypeScript", 0, 0, 0, 66, 0, 11, 77
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\BattleField\BattlePage.ts", "TypeScript", 0, 0, 0, 67, 4, 8, 79
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\BattleField\BattlePauseMenu.ts", "TypeScript", 0, 0, 0, 18, 0, 3, 21
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\BattleField\BattleResult.ts", "TypeScript", 0, 0, 0, 80, 1, 8, 89
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\BattleField\BattleScene.ts", "TypeScript", 0, 0, 0, 27, 1, 5, 33
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\BattleField\HP\HpMgr.ts", "TypeScript", 0, 0, 0, 71, 1, 12, 84
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\BattleField\HP\HpNum.ts", "TypeScript", 0, 0, 0, 33, 2, 6, 41
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\BattleField\Monster\MonsterMgr.ts", "TypeScript", 0, 0, 0, 33, 0, 6, 39
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Error\BasicException.ts", "TypeScript", 0, 0, 0, 60, 4, 13, 77
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Error\UserException.ts", "TypeScript", 0, 0, 0, 7, 19, 7, 33
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Heros\Formation\Formation.ts", "TypeScript", 0, 0, 0, 202, 4, 23, 229
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Heros\Formation\FormationBar.ts", "TypeScript", 0, 0, 0, 40, 0, 6, 46
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Heros\Formation\HeroPortrait.ts", "TypeScript", 0, 0, 0, 64, 0, 8, 72
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Heros\HerosMgr.ts", "TypeScript", 0, 0, 0, 173, 6, 12, 191
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Items\Item.ts", "TypeScript", 0, 0, 0, 54, 1, 10, 65
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Items\ItemBrowser.ts", "TypeScript", 0, 0, 0, 158, 0, 18, 176
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Items\ItemMgr.ts", "TypeScript", 0, 0, 0, 54, 4, 9, 67
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\NetWork\Json2Exc.ts", "TypeScript", 0, 0, 0, 8, 37, 11, 56
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\NetWork\LoginMsg.ts", "TypeScript", 0, 0, 0, 38, 17, 7, 62
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\NetWork\MD5.ts", "TypeScript", 0, 0, 0, 208, 0, 2, 210
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\NetWork\NetWork.ts", "TypeScript", 0, 0, 0, 48, 3, 8, 59
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Player\PlayerMgr.ts", "TypeScript", 0, 0, 0, 85, 9, 17, 111
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Spirit\SpiritMgr.ts", "TypeScript", 0, 0, 0, 7, 30, 7, 44
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\StartScene\Loading.ts", "TypeScript", 0, 0, 0, 151, 2, 7, 160
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\StartScene\SignUp.ts", "TypeScript", 0, 0, 0, 44, 2, 8, 54
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\StartScene\StartPage.ts", "TypeScript", 0, 0, 0, 175, 2, 8, 185
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\StartScene\StartScene.ts", "TypeScript", 0, 0, 0, 24, 0, 3, 27
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Tools\AlertLbl.ts", "TypeScript", 0, 0, 0, 26, 0, 6, 32
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Tools\Configure.ts", "TypeScript", 0, 0, 0, 36, 0, 5, 41
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Tools\Err.ts", "TypeScript", 0, 0, 0, 26, 2, 7, 35
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Tools\Functions.ts", "TypeScript", 0, 0, 0, 206, 22, 24, 252
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Tools\GameMgr.ts", "TypeScript", 0, 0, 0, 32, 2, 4, 38
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Tools\Generator.ts", "TypeScript", 0, 0, 0, 40, 0, 7, 47
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Tools\ImgMgr.ts", "TypeScript", 0, 0, 0, 26, 0, 6, 32
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Tools\MoveCamera.ts", "TypeScript", 0, 0, 0, 122, 1, 15, 138
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Tools\RenderModel2UI.ts", "TypeScript", 0, 0, 0, 24, 0, 7, 31
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Tools\ResMgr.ts", "TypeScript", 0, 0, 0, 48, 1, 8, 57
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Tools\SceneMgr.ts", "TypeScript", 0, 0, 0, 53, 1, 10, 64
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Tools\ShowNum.ts", "TypeScript", 0, 0, 0, 46, 12, 14, 72
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Tools\Subscribe.ts", "TypeScript", 0, 0, 0, 37, 12, 6, 55
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\Tools\TouchScreen.ts", "TypeScript", 0, 0, 0, 34, 1, 6, 41
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\HeroList\HeroEquip.ts", "TypeScript", 0, 0, 0, 7, 0, 2, 9
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\HeroList\HeroInfo.ts", "TypeScript", 0, 0, 0, 20, 4, 4, 28
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\HeroList\HeroList.ts", "TypeScript", 0, 0, 0, 74, 4, 17, 95
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\HeroList\HeroListEquip.ts", "TypeScript", 0, 0, 0, 7, 30, 8, 45
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\HeroList\HeroListPortrait.ts", "TypeScript", 0, 0, 0, 30, 0, 7, 37
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\HeroList\HeroSpirit.ts", "TypeScript", 0, 0, 0, 7, 0, 2, 9
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\HeroList\Model_UI.ts", "TypeScript", 0, 0, 0, 42, 0, 8, 50
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\Inventory\Inventory.ts", "TypeScript", 0, 0, 0, 69, 0, 13, 82
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\Inventory\InventoryMgr.ts", "TypeScript", 0, 0, 0, 85, 4, 10, 99
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\League\DynamicList.ts", "TypeScript", 0, 0, 0, 101, 0, 13, 114
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\League\League.ts", "TypeScript", 0, 0, 0, 25, 0, 5, 30
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\League\LeagueInfo.ts", "TypeScript", 0, 0, 0, 102, 3, 16, 121
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\League\LeagueJoin.ts", "TypeScript", 0, 0, 0, 57, 0, 7, 64
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\League\LeagueList.ts", "TypeScript", 0, 0, 0, 53, 0, 6, 59
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\League\LeagueMgr.ts", "TypeScript", 0, 0, 0, 404, 14, 17, 435
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\Mail\Mail.ts", "TypeScript", 0, 0, 0, 103, 3, 18, 124
