"filename", "language", "TypeScript", "JSON", "comment", "blank", "total"
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\BattleField\BattleResult.ts", "TypeScript", 9, 0, -1, 0, 8
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\BattleField\BattleScene.ts", "TypeScript", 0, 0, -1, 0, -1
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\TaskList\Task.ts", "TypeScript", 2, 0, 0, 0, 2
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\TaskList\TaskList.ts", "TypeScript", 22, 0, -1, 0, 21
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\MainScene\TaskList\TaskMgr.ts", "TypeScript", -1, 0, 0, 0, -1
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\StageScene\StageMgr.ts", "TypeScript", 18, 0, 1, 1, 20
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\StageScene\StagePage.ts", "TypeScript", 5, 0, 0, 0, 5
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\StageScene\StagePoint.ts", "TypeScript", 12, 0, 0, 1, 13
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\resources\config\stage.json", "JSON", 0, 10, 0, 0, 10
"Total", "-", 67, 10, -2, 2, 77
